Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame
dei,EntityCommonStockSharesOutstanding,shares,15441881000.0,,2024-01-19,0000320193-24-000006,2024,Q1,10-Q,2024-02-02,CY2023Q4I
dei,EntityCommonStockSharesOutstanding,shares,15334082000.0,,2024-04-19,0000320193-24-000069,2024,Q2,10-Q,2024-05-03,CY2024Q1I
us-gaap,CommonStockSharesAuthorized,shares,50400000000.0,,2023-09-30,0000320193-24-000006,2024,Q1,10-Q,2024-02-02,
us-gaap,CommonStockSharesAuthorized,shares,50400000000.0,,2023-09-30,0000320193-24-000069,2024,Q2,10-Q,2024-05-03,
us-gaap,CommonStockSharesAuthorized,shares,50400000000.0,,2023-12-30,0000320193-24-000006,2024,Q1,10-Q,2024-02-02,CY2023Q4I
us-gaap,CommonStockSharesAuthorized,shares,50400000000.0,,2024-03-30,0000320193-24-000069,2024,Q2,10-Q,2024-05-03,CY2024Q1I
us-gaap,CommonStockSharesIssued,shares,15550061000.0,,2023-09-30,0000320193-24-000006,2024,Q1,10-Q,2024-02-02,
us-gaap,CommonStockSharesIssued,shares,15550061000.0,,2023-09-30,0000320193-24-000069,2024,Q2,10-Q,2024-05-03,
us-gaap,CommonStockSharesIssued,shares,15460223000.0,,2023-12-30,0000320193-24-000006,2024,Q1,10-Q,2024-02-02,CY2023Q4I
us-gaap,CommonStockSharesIssued,shares,15337686000.0,,2024-03-30,0000320193-24-000069,2024,Q2,10-Q,2024-05-03,CY2024Q1I
us-gaap,CommonStockSharesOutstanding,shares,15550061000.0,,2023-09-30,0000320193-24-000006,2024,Q1,10-Q,2024-02-02,
us-gaap,CommonStockSharesOutstanding,shares,15550061000.0,,2023-09-30,0000320193-24-000069,2024,Q2,10-Q,2024-05-03,
us-gaap,CommonStockSharesOutstanding,shares,15460223000.0,,2023-12-30,0000320193-24-000006,2024,Q1,10-Q,2024-02-02,CY2023Q4I
us-gaap,CommonStockSharesOutstanding,shares,15337686000.0,,2024-03-30,0000320193-24-000069,2024,Q2,10-Q,2024-05-03,CY2024Q1I
