Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame,Ticker
dei,EntityCommonStockSharesOutstanding,shares,15441881000.0,,2024-01-19,0000320193-24-000006,2024,Q1,10-Q,2024-02-02,CY2023Q4I,AAPL
dei,EntityCommonStockSharesOutstanding,shares,15334082000.0,,2024-04-19,0000320193-24-000069,2024,Q2,10-Q,2024-05-03,CY2024Q1I,AAPL
dei,EntityCommonStockSharesOutstanding,shares,15204137000.0,,2024-07-19,0000320193-24-000081,2024,Q3,10-Q,2024-08-02,CY2024Q2I,AAPL
dei,EntityCommonStockSharesOutstanding,shares,15115823000.0,,2024-10-18,0000320193-24-000123,2024,FY,10-K,2024-11-01,CY2024Q3I,AAPL
dei,EntityPublicFloat,USD,2628553000000.0,,2024-03-29,0000320193-24-000123,2024,FY,10-K,2024-11-01,CY2024Q1I,AAPL
us-gaap,AccountsPayableCurrent,USD,62611000000.0,,2023-09-30,0000320193-24-000006,2024,Q1,10-Q,2024-02-02,,AAPL
us-gaap,AccountsPayableCurrent,USD,62611000000.0,,2023-09-30,0000320193-24-000069,2024,Q2,10-Q,2024-05-03,,AAPL
us-gaap,AccountsPayableCurrent,USD,62611000000.0,,2023-09-30,0000320193-24-000081,2024,Q3,10-Q,2024-08-02,,AAPL
us-gaap,AccountsPayableCurrent,USD,62611000000.0,,2023-09-30,0000320193-24-000123,2024,FY,10-K,2024-11-01,CY2023Q3I,AAPL
us-gaap,AccountsPayableCurrent,USD,58146000000.0,,2023-12-30,0000320193-24-000006,2024,Q1,10-Q,2024-02-02,CY2023Q4I,AAPL
us-gaap,AccountsPayableCurrent,USD,45753000000.0,,2024-03-30,0000320193-24-000069,2024,Q2,10-Q,2024-05-03,CY2024Q1I,AAPL
us-gaap,AccountsPayableCurrent,USD,47574000000.0,,2024-06-29,0000320193-24-000081,2024,Q3,10-Q,2024-08-02,CY2024Q2I,AAPL
us-gaap,AccountsPayableCurrent,USD,68960000000.0,,2024-09-28,0000320193-24-000123,2024,FY,10-K,2024-11-01,CY2024Q3I,AAPL
us-gaap,AccountsReceivableNetCurrent,USD,29508000000.0,,2023-09-30,0000320193-24-000006,2024,Q1,10-Q,2024-02-02,,AAPL
us-gaap,AccountsReceivableNetCurrent,USD,29508000000.0,,2023-09-30,0000320193-24-000069,2024,Q2,10-Q,2024-05-03,,AAPL
us-gaap,AccountsReceivableNetCurrent,USD,29508000000.0,,2023-09-30,0000320193-24-000081,2024,Q3,10-Q,2024-08-02,,AAPL
us-gaap,AccountsReceivableNetCurrent,USD,29508000000.0,,2023-09-30,0000320193-24-000123,2024,FY,10-K,2024-11-01,CY2023Q3I,AAPL
us-gaap,AccountsReceivableNetCurrent,USD,23194000000.0,,2023-12-30,0000320193-24-000006,2024,Q1,10-Q,2024-02-02,CY2023Q4I,AAPL
us-gaap,AccountsReceivableNetCurrent,USD,21837000000.0,,2024-03-30,0000320193-24-000069,2024,Q2,10-Q,2024-05-03,CY2024Q1I,AAPL
us-gaap,AccountsReceivableNetCurrent,USD,22795000000.0,,2024-06-29,0000320193-24-000081,2024,Q3,10-Q,2024-08-02,CY2024Q2I,AAPL
us-gaap,AccountsReceivableNetCurrent,USD,33410000000.0,,2024-09-28,0000320193-24-000123,2024,FY,10-K,2024-11-01,CY2024Q3I,AAPL
us-gaap,AccruedIncomeTaxesCurrent,USD,8819000000.0,,2023-09-30,0000320193-24-000123,2024,FY,10-K,2024-11-01,CY2023Q3I,AAPL
