Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame
us-gaap,EffectiveIncomeTaxRateContinuingOperations,pure,0.162,2021-01-01,2021-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021
us-gaap,EffectiveIncomeTaxRateContinuingOperations,pure,0.159,2022-01-01,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022
us-gaap,EffectiveIncomeTaxRateContinuingOperations,pure,0.173,2023-01-01,2023-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2023Q1
us-gaap,EffectiveIncomeTaxRateContinuingOperations,pure,0.139,2023-01-01,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023
us-gaap,EffectiveIncomeTaxRateContinuingOperations,pure,0.164,2024-01-01,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1
us-gaap,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,pure,0.21,2021-01-01,2021-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021
us-gaap,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,pure,0.21,2022-01-01,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022
us-gaap,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,pure,0.21,2023-01-01,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023
us-gaap,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,pure,0.006,2021-01-01,2021-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021
us-gaap,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,pure,0.009,2022-01-01,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022
us-gaap,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,pure,0.006,2023-01-01,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023
us-gaap,EffectiveIncomeTaxRateReconciliationFdiiPercent,pure,0.025,2021-01-01,2021-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021
us-gaap,EffectiveIncomeTaxRateReconciliationFdiiPercent,pure,0.054,2022-01-01,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022
us-gaap,EffectiveIncomeTaxRateReconciliationFdiiPercent,pure,0.046,2023-01-01,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023
us-gaap,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,pure,0.002,2021-01-01,2021-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021
us-gaap,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,pure,0.03,2022-01-01,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022
us-gaap,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,pure,0.003,2023-01-01,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023
us-gaap,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,pure,0.025,2021-01-01,2021-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021
us-gaap,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,pure,0.012,2022-01-01,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022
us-gaap,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,pure,0.008,2023-01-01,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023
us-gaap,EffectiveIncomeTaxRateReconciliationOtherAdjustments,pure,0.0,2021-01-01,2021-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021
us-gaap,EffectiveIncomeTaxRateReconciliationOtherAdjustments,pure,-0.01,2022-01-01,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022
us-gaap,EffectiveIncomeTaxRateReconciliationOtherAdjustments,pure,-0.004,2023-01-01,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023
us-gaap,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,pure,0.01,2021-01-01,2021-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021
us-gaap,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,pure,0.008,2022-01-01,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022
us-gaap,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,pure,0.01,2023-01-01,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023
us-gaap,EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,pure,0.016,2021-01-01,2021-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2021
us-gaap,EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,pure,0.022,2022-01-01,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022
us-gaap,EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,pure,0.018,2023-01-01,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023
us-gaap,OperatingLeaseWeightedAverageDiscountRatePercent,pure,0.031,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023Q4I
