Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame,Ticker
us-gaap,CommonStockSharesAuthorized,shares,300000000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I,GOOGL
us-gaap,CommonStockSharesAuthorized,shares,300000000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,,GOOGL
us-gaap,CommonStockSharesAuthorized,shares,300000000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,,GOOGL
us-gaap,CommonStockSharesAuthorized,shares,300000000000.0,,2023-12-31,0001652044-24-000079,2024,Q2,10-Q,2024-07-24,,GOOGL
us-gaap,CommonStockSharesAuthorized,shares,300000000000.0,,2023-12-31,0001652044-24-000118,2024,Q3,10-Q,2024-10-30,CY2023Q4I,GOOGL
us-gaap,CommonStockSharesAuthorized,shares,300000000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I,GOOGL
us-gaap,CommonStockSharesAuthorized,shares,300000000000.0,,2024-06-30,0001652044-24-000079,2024,Q2,10-Q,2024-07-24,CY2024Q2I,GOOGL
us-gaap,CommonStockSharesAuthorized,shares,300000000000.0,,2024-09-30,0001652044-24-000118,2024,Q3,10-Q,2024-10-30,CY2024Q3I,GOOGL
us-gaap,CommonStockSharesIssued,shares,12849000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I,GOOGL
us-gaap,CommonStockSharesIssued,shares,12460000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,,GOOGL
us-gaap,CommonStockSharesIssued,shares,12460000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,,GOOGL
us-gaap,CommonStockSharesIssued,shares,12460000000.0,,2023-12-31,0001652044-24-000079,2024,Q2,10-Q,2024-07-24,,GOOGL
us-gaap,CommonStockSharesIssued,shares,12460000000.0,,2023-12-31,0001652044-24-000118,2024,Q3,10-Q,2024-10-30,CY2023Q4I,GOOGL
us-gaap,CommonStockSharesIssued,shares,12381000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I,GOOGL
us-gaap,CommonStockSharesIssued,shares,12322000000.0,,2024-06-30,0001652044-24-000079,2024,Q2,10-Q,2024-07-24,CY2024Q2I,GOOGL
us-gaap,CommonStockSharesIssued,shares,12264000000.0,,2024-09-30,0001652044-24-000118,2024,Q3,10-Q,2024-10-30,CY2024Q3I,GOOGL
us-gaap,CommonStockSharesOutstanding,shares,12849000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I,GOOGL
us-gaap,CommonStockSharesOutstanding,shares,12460000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,,GOOGL
us-gaap,CommonStockSharesOutstanding,shares,12460000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,,GOOGL
us-gaap,CommonStockSharesOutstanding,shares,12460000000.0,,2023-12-31,0001652044-24-000079,2024,Q2,10-Q,2024-07-24,,GOOGL
us-gaap,CommonStockSharesOutstanding,shares,12460000000.0,,2023-12-31,0001652044-24-000118,2024,Q3,10-Q,2024-10-30,CY2023Q4I,GOOGL
us-gaap,CommonStockSharesOutstanding,shares,12381000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I,GOOGL
us-gaap,CommonStockSharesOutstanding,shares,12322000000.0,,2024-06-30,0001652044-24-000079,2024,Q2,10-Q,2024-07-24,CY2024Q2I,GOOGL
us-gaap,CommonStockSharesOutstanding,shares,12264000000.0,,2024-09-30,0001652044-24-000118,2024,Q3,10-Q,2024-10-30,CY2024Q3I,GOOGL
us-gaap,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,shares,69000000.0,2023-01-01,2023-06-30,0001652044-24-000079,2024,Q2,10-Q,2024-07-24,,GOOGL
us-gaap,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,shares,96000000.0,2023-04-01,2023-06-30,0001652044-24-000079,2024,Q2,10-Q,2024-07-24,CY2023Q2,GOOGL
us-gaap,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,shares,84000000.0,2023-01-01,2023-09-30,0001652044-24-000118,2024,Q3,10-Q,2024-10-30,,GOOGL
us-gaap,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,shares,115000000.0,2023-07-01,2023-09-30,0001652044-24-000118,2024,Q3,10-Q,2024-10-30,CY2023Q3,GOOGL
us-gaap,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,shares,132000000.0,2024-01-01,2024-06-30,0001652044-24-000079,2024,Q2,10-Q,2024-07-24,,GOOGL
us-gaap,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,shares,152000000.0,2024-04-01,2024-06-30,0001652044-24-000079,2024,Q2,10-Q,2024-07-24,CY2024Q2,GOOGL
us-gaap,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,shares,131000000.0,2024-01-01,2024-09-30,0001652044-24-000118,2024,Q3,10-Q,2024-10-30,,GOOGL
us-gaap,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,shares,129000000.0,2024-07-01,2024-09-30,0001652044-24-000118,2024,Q3,10-Q,2024-10-30,CY2024Q3,GOOGL
us-gaap,PreferredStockSharesAuthorized,shares,100000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I,GOOGL
us-gaap,PreferredStockSharesAuthorized,shares,100000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,,GOOGL
us-gaap,PreferredStockSharesAuthorized,shares,100000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,,GOOGL
us-gaap,PreferredStockSharesAuthorized,shares,100000000.0,,2023-12-31,0001652044-24-000079,2024,Q2,10-Q,2024-07-24,,GOOGL
us-gaap,PreferredStockSharesAuthorized,shares,100000000.0,,2023-12-31,0001652044-24-000118,2024,Q3,10-Q,2024-10-30,CY2023Q4I,GOOGL
us-gaap,PreferredStockSharesAuthorized,shares,100000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I,GOOGL
us-gaap,PreferredStockSharesAuthorized,shares,100000000.0,,2024-06-30,0001652044-24-000079,2024,Q2,10-Q,2024-07-24,CY2024Q2I,GOOGL
us-gaap,PreferredStockSharesAuthorized,shares,100000000.0,,2024-09-30,0001652044-24-000118,2024,Q3,10-Q,2024-10-30,CY2024Q3I,GOOGL
us-gaap,PreferredStockSharesIssued,shares,0.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I,GOOGL
us-gaap,PreferredStockSharesIssued,shares,0.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,,GOOGL
us-gaap,PreferredStockSharesIssued,shares,0.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,,GOOGL
us-gaap,PreferredStockSharesIssued,shares,0.0,,2023-12-31,0001652044-24-000079,2024,Q2,10-Q,2024-07-24,,GOOGL
us-gaap,PreferredStockSharesIssued,shares,0.0,,2023-12-31,0001652044-24-000118,2024,Q3,10-Q,2024-10-30,CY2023Q4I,GOOGL
us-gaap,PreferredStockSharesIssued,shares,0.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I,GOOGL
us-gaap,PreferredStockSharesIssued,shares,0.0,,2024-06-30,0001652044-24-000079,2024,Q2,10-Q,2024-07-24,CY2024Q2I,GOOGL
us-gaap,PreferredStockSharesIssued,shares,0.0,,2024-09-30,0001652044-24-000118,2024,Q3,10-Q,2024-10-30,CY2024Q3I,GOOGL
us-gaap,PreferredStockSharesOutstanding,shares,0.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I,GOOGL
us-gaap,PreferredStockSharesOutstanding,shares,0.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,,GOOGL
us-gaap,PreferredStockSharesOutstanding,shares,0.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,,GOOGL
us-gaap,PreferredStockSharesOutstanding,shares,0.0,,2023-12-31,0001652044-24-000079,2024,Q2,10-Q,2024-07-24,,GOOGL
us-gaap,PreferredStockSharesOutstanding,shares,0.0,,2023-12-31,0001652044-24-000118,2024,Q3,10-Q,2024-10-30,CY2023Q4I,GOOGL
us-gaap,PreferredStockSharesOutstanding,shares,0.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I,GOOGL
us-gaap,PreferredStockSharesOutstanding,shares,0.0,,2024-06-30,0001652044-24-000079,2024,Q2,10-Q,2024-07-24,CY2024Q2I,GOOGL
