Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame
dei,EntityPublicFloat,USD,1331200000000.0,,2023-06-30,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2023Q2I
us-gaap,AccountsPayableCurrent,USD,5128000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I
us-gaap,AccountsPayableCurrent,USD,7493000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,
us-gaap,AccountsPayableCurrent,USD,7493000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,
us-gaap,AccountsPayableCurrent,USD,6198000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,AccountsReceivableNetCurrent,USD,40258000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I
us-gaap,AccountsReceivableNetCurrent,USD,47964000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,
us-gaap,AccountsReceivableNetCurrent,USD,47964000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,
us-gaap,AccountsReceivableNetCurrent,USD,44552000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,AccruedIncomeTaxesCurrent,USD,1632000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I
us-gaap,AccruedIncomeTaxesCurrent,USD,2748000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,
us-gaap,AccruedIncomeTaxesCurrent,USD,2748000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,
us-gaap,AccruedIncomeTaxesCurrent,USD,4926000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,AccruedIncomeTaxesNoncurrent,USD,9258000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I
us-gaap,AccruedIncomeTaxesNoncurrent,USD,8474000000.0,,2023-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,
us-gaap,AccruedIncomeTaxesNoncurrent,USD,8474000000.0,,2023-12-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,
us-gaap,AccruedIncomeTaxesNoncurrent,USD,9234000000.0,,2024-03-31,0001652044-24-000053,2024,Q1,10-Q,2024-04-26,CY2024Q1I
us-gaap,AccruedLiabilitiesCurrent,USD,37866000000.0,,2022-12-31,0001652044-24-000022,2023,FY,10-K,2024-01-31,CY2022Q4I
