Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame,Ticker
us-gaap,CommonStockParOrStatedValuePerShare,USD/shares,0.0001,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,CommonStockParOrStatedValuePerShare,USD/shares,0.0001,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
us-gaap,CommonStockParOrStatedValuePerShare,USD/shares,0.0001,,2023-12-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,,MRNA
us-gaap,CommonStockParOrStatedValuePerShare,USD/shares,0.0001,,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
us-gaap,EarningsPerShareBasic,USD/shares,30.31,2021-01-01,2021-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2021,MRNA
us-gaap,EarningsPerShareBasic,USD/shares,21.26,2022-01-01,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022,MRNA
us-gaap,EarningsPerShareBasic,USD/shares,0.2,2023-01-01,2023-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2023Q1,MRNA
us-gaap,EarningsPerShareBasic,USD/shares,-12.33,2023-01-01,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023,MRNA
us-gaap,EarningsPerShareBasic,USD/shares,-3.07,2024-01-01,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1,MRNA
us-gaap,EarningsPerShareDiluted,USD/shares,28.29,2021-01-01,2021-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2021,MRNA
us-gaap,EarningsPerShareDiluted,USD/shares,20.12,2022-01-01,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022,MRNA
us-gaap,EarningsPerShareDiluted,USD/shares,0.19,2023-01-01,2023-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2023Q1,MRNA
us-gaap,EarningsPerShareDiluted,USD/shares,-12.33,2023-01-01,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023,MRNA
us-gaap,EarningsPerShareDiluted,USD/shares,-3.07,2024-01-01,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1,MRNA
us-gaap,PreferredStockParOrStatedValuePerShare,USD/shares,0.0001,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,PreferredStockParOrStatedValuePerShare,USD/shares,0.0001,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
us-gaap,PreferredStockParOrStatedValuePerShare,USD/shares,0.0001,,2023-12-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,,MRNA
us-gaap,PreferredStockParOrStatedValuePerShare,USD/shares,0.0001,,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,USD/shares,33.34,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023Q4I,MRNA
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,USD/shares,42.23,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,USD/shares,56.14,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023Q4I,MRNA
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,USD/shares,122.5,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023Q4I,MRNA
us-gaap,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,USD/shares,8.13,2023-01-01,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023,MRNA
us-gaap,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,USD/shares,130.23,2023-01-01,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023,MRNA
us-gaap,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,USD/shares,113.03,2023-01-01,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023,MRNA
us-gaap,TreasuryStockAcquiredAverageCostPerShare,USD/shares,245.76,2021-01-01,2021-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2021,MRNA
us-gaap,TreasuryStockAcquiredAverageCostPerShare,USD/shares,142.83,2022-01-01,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022,MRNA
us-gaap,TreasuryStockAcquiredAverageCostPerShare,USD/shares,143.26,2023-01-01,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023,MRNA
