Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame,Ticker
dei,EntityCommonStockSharesOutstanding,shares,382073208.0,,2024-02-16,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
dei,EntityCommonStockSharesOutstanding,shares,383239726.0,,2024-04-26,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
us-gaap,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,shares,1000000.0,2021-01-01,2021-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2021,MRNA
us-gaap,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,shares,3000000.0,2022-01-01,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022,MRNA
us-gaap,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,shares,5000000.0,2023-01-01,2023-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2023Q1,MRNA
us-gaap,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,shares,31000000.0,2023-01-01,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023,MRNA
us-gaap,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,shares,35000000.0,2024-01-01,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1,MRNA
us-gaap,CommonStockSharesAuthorized,shares,1600000000.0,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,CommonStockSharesAuthorized,shares,1600000000.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
us-gaap,CommonStockSharesAuthorized,shares,1600000000.0,,2023-12-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,,MRNA
us-gaap,CommonStockSharesAuthorized,shares,1600000000.0,,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
us-gaap,CommonStockSharesIssued,shares,385000000.0,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,CommonStockSharesIssued,shares,382000000.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
us-gaap,CommonStockSharesIssued,shares,382000000.0,,2023-12-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,,MRNA
us-gaap,CommonStockSharesIssued,shares,383000000.0,,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
us-gaap,CommonStockSharesOutstanding,shares,385000000.0,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,CommonStockSharesOutstanding,shares,382000000.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
us-gaap,CommonStockSharesOutstanding,shares,382000000.0,,2023-12-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,,MRNA
us-gaap,CommonStockSharesOutstanding,shares,383000000.0,,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
us-gaap,PreferredStockSharesAuthorized,shares,162000000.0,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,PreferredStockSharesAuthorized,shares,162000000.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
us-gaap,PreferredStockSharesAuthorized,shares,162000000.0,,2023-12-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,,MRNA
us-gaap,PreferredStockSharesAuthorized,shares,162000000.0,,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
us-gaap,PreferredStockSharesIssued,shares,0.0,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,PreferredStockSharesIssued,shares,0.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
us-gaap,PreferredStockSharesIssued,shares,0.0,,2023-12-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,,MRNA
us-gaap,PreferredStockSharesIssued,shares,0.0,,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
us-gaap,PreferredStockSharesOutstanding,shares,0.0,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,PreferredStockSharesOutstanding,shares,0.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
us-gaap,PreferredStockSharesOutstanding,shares,0.0,,2023-12-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,,MRNA
us-gaap,PreferredStockSharesOutstanding,shares,0.0,,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,shares,47000000.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023Q4I,MRNA
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,shares,18980000.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023Q4I,MRNA
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,shares,680000.0,2023-01-01,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023,MRNA
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,shares,4360000.0,2023-01-01,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023,MRNA
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,shares,24930000.0,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,shares,25500000.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023Q4I,MRNA
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,shares,6520000.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023Q4I,MRNA
us-gaap,StockIssuedDuringPeriodSharesStockOptionsExercised,shares,3110000.0,2023-01-01,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023,MRNA
us-gaap,StockRepurchasedDuringPeriodShares,shares,0.0,2024-01-01,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1,MRNA
us-gaap,TreasuryStockSharesAcquired,shares,3000000.0,2021-01-01,2021-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2021,MRNA
us-gaap,TreasuryStockSharesAcquired,shares,23000000.0,2022-01-01,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022,MRNA
us-gaap,TreasuryStockSharesAcquired,shares,8000000.0,2023-01-01,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023,MRNA
us-gaap,WeightedAverageNumberDilutedSharesOutstandingAdjustment,shares,28000000.0,2021-01-01,2021-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2021,MRNA
us-gaap,WeightedAverageNumberDilutedSharesOutstandingAdjustment,shares,22000000.0,2022-01-01,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022,MRNA
us-gaap,WeightedAverageNumberDilutedSharesOutstandingAdjustment,shares,19000000.0,2023-01-01,2023-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2023Q1,MRNA
us-gaap,WeightedAverageNumberDilutedSharesOutstandingAdjustment,shares,0.0,2023-01-01,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023,MRNA
us-gaap,WeightedAverageNumberDilutedSharesOutstandingAdjustment,shares,0.0,2024-01-01,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1,MRNA
us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,shares,431000000.0,2021-01-01,2021-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2021,MRNA
