Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame,Ticker
dei,EntityCommonStockSharesOutstanding,shares,382073208.0,,2024-02-16,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
dei,EntityCommonStockSharesOutstanding,shares,383239726.0,,2024-04-26,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
dei,EntityPublicFloat,USD,40200000000.0,,2023-06-30,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023Q2I,MRNA
us-gaap,AccountsPayableCurrent,USD,487000000.0,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,AccountsPayableCurrent,USD,520000000.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
us-gaap,AccountsPayableCurrent,USD,520000000.0,,2023-12-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,,MRNA
us-gaap,AccountsPayableCurrent,USD,183000000.0,,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
us-gaap,AccountsReceivableGross,USD,1385000000.0,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,AccountsReceivableGross,USD,1584000000.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
us-gaap,AccountsReceivableGross,USD,1584000000.0,,2023-12-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,,MRNA
us-gaap,AccountsReceivableGross,USD,422000000.0,,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
us-gaap,AccountsReceivableNet,USD,1385000000.0,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,AccountsReceivableNet,USD,892000000.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
us-gaap,AccountsReceivableNet,USD,892000000.0,,2023-12-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,,MRNA
us-gaap,AccountsReceivableNet,USD,137000000.0,,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
us-gaap,AccountsReceivableNetCurrent,USD,1385000000.0,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,AccountsReceivableNetCurrent,USD,892000000.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
us-gaap,AccountsReceivableNetCurrent,USD,892000000.0,,2023-12-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,,MRNA
us-gaap,AccountsReceivableNetCurrent,USD,137000000.0,,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
us-gaap,AccruedLiabilitiesCurrent,USD,2101000000.0,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,AccruedLiabilitiesCurrent,USD,1798000000.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
us-gaap,AccruedLiabilitiesCurrent,USD,1798000000.0,,2023-12-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,,MRNA
us-gaap,AccruedLiabilitiesCurrent,USD,1396000000.0,,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
us-gaap,AccruedRoyaltiesCurrent,USD,203000000.0,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,AccruedRoyaltiesCurrent,USD,122000000.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
us-gaap,AccruedRoyaltiesCurrent,USD,122000000.0,,2023-12-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,,MRNA
us-gaap,AccruedRoyaltiesCurrent,USD,8000000.0,,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
us-gaap,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,-370000000.0,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,-123000000.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
us-gaap,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,-123000000.0,,2023-12-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,,MRNA
us-gaap,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,-101000000.0,,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
us-gaap,AdditionalPaidInCapital,USD,1173000000.0,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,AdditionalPaidInCapital,USD,371000000.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,,MRNA
us-gaap,AdditionalPaidInCapital,USD,371000000.0,,2023-12-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,,MRNA
us-gaap,AdditionalPaidInCapital,USD,487000000.0,,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1I,MRNA
us-gaap,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,USD,142000000.0,2021-01-01,2021-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2021,MRNA
us-gaap,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,USD,226000000.0,2022-01-01,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022,MRNA
us-gaap,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,USD,75000000.0,2023-01-01,2023-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2023Q1,MRNA
us-gaap,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,USD,305000000.0,2023-01-01,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023,MRNA
us-gaap,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,USD,101000000.0,2024-01-01,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1,MRNA
us-gaap,AdvertisingExpense,USD,0.0,2021-01-01,2021-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2021,MRNA
us-gaap,AdvertisingExpense,USD,121000000.0,2022-01-01,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022,MRNA
us-gaap,AdvertisingExpense,USD,204000000.0,2023-01-01,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023,MRNA
us-gaap,AllocatedShareBasedCompensationExpense,USD,142000000.0,2021-01-01,2021-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2021,MRNA
us-gaap,AllocatedShareBasedCompensationExpense,USD,226000000.0,2022-01-01,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022,MRNA
us-gaap,AllocatedShareBasedCompensationExpense,USD,75000000.0,2023-01-01,2023-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2023Q1,MRNA
us-gaap,AllocatedShareBasedCompensationExpense,USD,305000000.0,2023-01-01,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023,MRNA
us-gaap,AllocatedShareBasedCompensationExpense,USD,101000000.0,2024-01-01,2024-03-31,0001682852-24-000027,2024,Q1,10-Q,2024-05-02,CY2024Q1,MRNA
us-gaap,AllowanceForDoubtfulAccountsReceivableCurrent,USD,0.0,,2022-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2022Q4I,MRNA
us-gaap,AllowanceForDoubtfulAccountsReceivableCurrent,USD,0.0,,2023-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2023Q4I,MRNA
us-gaap,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,shares,1000000.0,2021-01-01,2021-12-31,0001682852-24-000015,2023,FY,10-K,2024-02-23,CY2021,MRNA
