Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame
dei,EntityCommonStockSharesOutstanding,shares,7430436229.0,,2024-01-25,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
dei,EntityCommonStockSharesOutstanding,shares,7432305794.0,,2024-04-22,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,CommonStockSharesAuthorized,shares,24000000000.0,,2023-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CommonStockSharesAuthorized,shares,24000000000.0,,2023-06-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CommonStockSharesAuthorized,shares,24000000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,CommonStockSharesAuthorized,shares,24000000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,CommonStockSharesOutstanding,shares,7432000000.0,,2023-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,CommonStockSharesOutstanding,shares,7432000000.0,,2023-06-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,CommonStockSharesOutstanding,shares,7432000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,CommonStockSharesOutstanding,shares,7433000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,shares,25000000.0,2022-07-01,2022-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,shares,22000000.0,2022-10-01,2022-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2022Q4
us-gaap,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,shares,24000000.0,2022-07-01,2023-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,shares,23000000.0,2023-01-01,2023-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2023Q1
us-gaap,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,shares,34000000.0,2023-07-01,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,shares,36000000.0,2023-10-01,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4
us-gaap,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,shares,36000000.0,2023-07-01,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,shares,41000000.0,2024-01-01,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1
us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,shares,7479000000.0,2022-07-01,2022-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,shares,7473000000.0,2022-10-01,2022-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2022Q4
us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,shares,7474000000.0,2022-07-01,2023-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
