Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame
dei,EntityCommonStockSharesOutstanding,shares,7430436229.0,,2024-01-25,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
dei,EntityCommonStockSharesOutstanding,shares,7432305794.0,,2024-04-22,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
dei,EntityListingParValuePerShare,USD/shares,6e-06,2023-07-01,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
dei,EntityListingParValuePerShare,USD/shares,6e-06,2023-07-01,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,AccountsPayableCurrent,USD,18095000000.0,,2023-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,AccountsPayableCurrent,USD,18095000000.0,,2023-06-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,AccountsPayableCurrent,USD,17695000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,AccountsPayableCurrent,USD,18087000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,AccountsReceivableNetCurrent,USD,48688000000.0,,2023-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,AccountsReceivableNetCurrent,USD,48688000000.0,,2023-06-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,AccountsReceivableNetCurrent,USD,42831000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,AccountsReceivableNetCurrent,USD,44029000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,AccountsReceivableNetNoncurrent,USD,4500000000.0,,2023-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,AccountsReceivableNetNoncurrent,USD,4500000000.0,,2023-06-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,AccountsReceivableNetNoncurrent,USD,4800000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,AccountsReceivableNetNoncurrent,USD,4800000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,AccruedIncomeTaxesCurrent,USD,4152000000.0,,2023-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,AccruedIncomeTaxesCurrent,USD,4152000000.0,,2023-06-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,AccruedIncomeTaxesCurrent,USD,5787000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,AccruedIncomeTaxesCurrent,USD,7311000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
us-gaap,AccruedIncomeTaxesNoncurrent,USD,25560000000.0,,2023-06-30,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,
us-gaap,AccruedIncomeTaxesNoncurrent,USD,25560000000.0,,2023-06-30,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,
us-gaap,AccruedIncomeTaxesNoncurrent,USD,25890000000.0,,2023-12-31,0000950170-24-008814,2024,Q2,10-Q,2024-01-30,CY2023Q4I
us-gaap,AccruedIncomeTaxesNoncurrent,USD,26786000000.0,,2024-03-31,0000950170-24-048288,2024,Q3,10-Q,2024-04-25,CY2024Q1I
