Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame,Ticker
us-gaap,DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,pure,0.75,2023-01-01,2023-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,pure,0.75,2023-01-01,2023-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,CY2023,PHAT
us-gaap,DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,pure,0.75,2024-01-01,2024-03-31,0000950170-24-056888,2024,Q1,10-Q,2024-05-09,,PHAT
us-gaap,DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,pure,0.75,2024-01-01,2024-03-31,0000950170-24-073628,2024,Q1,10-Q/A,2024-06-14,CY2024Q1,PHAT
us-gaap,DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,pure,0.75,2024-01-01,2024-06-30,0000950170-24-093885,2024,Q2,10-Q,2024-08-08,,PHAT
us-gaap,DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,pure,0.75,2024-01-01,2024-09-30,0000950170-24-123264,2024,Q3,10-Q,2024-11-07,,PHAT
us-gaap,OperatingLeaseWeightedAverageDiscountRatePercent,pure,0.0821,,2023-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,OperatingLeaseWeightedAverageDiscountRatePercent,pure,0.0821,,2023-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,CY2023Q4I,PHAT
us-gaap,OperatingLeaseWeightedAverageDiscountRatePercent,pure,0.0822,,2024-03-31,0000950170-24-056888,2024,Q1,10-Q,2024-05-09,,PHAT
us-gaap,OperatingLeaseWeightedAverageDiscountRatePercent,pure,0.0822,,2024-03-31,0000950170-24-073628,2024,Q1,10-Q/A,2024-06-14,CY2024Q1I,PHAT
us-gaap,OperatingLeaseWeightedAverageDiscountRatePercent,pure,0.0823,,2024-06-30,0000950170-24-093885,2024,Q2,10-Q,2024-08-08,CY2024Q2I,PHAT
us-gaap,OperatingLeaseWeightedAverageDiscountRatePercent,pure,0.0825,,2024-09-30,0000950170-24-123264,2024,Q3,10-Q,2024-11-07,CY2024Q3I,PHAT
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,pure,0.0,2022-01-01,2022-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,pure,0.0,2022-01-01,2022-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,CY2022,PHAT
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,pure,0.0,2023-01-01,2023-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,pure,0.0,2023-01-01,2023-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,CY2023,PHAT
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,pure,0.66,2022-01-01,2022-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,pure,0.66,2022-01-01,2022-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,CY2022,PHAT
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,pure,0.6605,2023-01-01,2023-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,pure,0.6605,2023-01-01,2023-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,CY2023,PHAT
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,pure,0.0206,2022-01-01,2022-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,pure,0.0206,2022-01-01,2022-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,CY2022,PHAT
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,pure,0.0365,2023-01-01,2023-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,pure,0.0365,2023-01-01,2023-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,CY2023,PHAT
