Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame,Ticker
dei,EntityCommonStockSharesOutstanding,shares,58477351.0,,2024-03-04,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
dei,EntityCommonStockSharesOutstanding,shares,58477351.0,,2024-03-04,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,CY2024Q1I,PHAT
dei,EntityCommonStockSharesOutstanding,shares,58535193.0,,2024-05-06,0000950170-24-056888,2024,Q1,10-Q,2024-05-09,,PHAT
dei,EntityCommonStockSharesOutstanding,shares,58535193.0,,2024-05-06,0000950170-24-073628,2024,Q1,10-Q/A,2024-06-14,,PHAT
dei,EntityCommonStockSharesOutstanding,shares,59593971.0,,2024-08-06,0000950170-24-093885,2024,Q2,10-Q,2024-08-08,CY2024Q2I,PHAT
dei,EntityCommonStockSharesOutstanding,shares,68377379.0,,2024-11-04,0000950170-24-123264,2024,Q3,10-Q,2024-11-07,CY2024Q3I,PHAT
us-gaap,CommonStockCapitalSharesReservedForFutureIssuance,shares,9378875.0,,2023-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,CommonStockCapitalSharesReservedForFutureIssuance,shares,9378875.0,,2023-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,CY2023Q4I,PHAT
us-gaap,CommonStockCapitalSharesReservedForFutureIssuance,shares,12396758.0,,2024-03-31,0000950170-24-056888,2024,Q1,10-Q,2024-05-09,,PHAT
us-gaap,CommonStockCapitalSharesReservedForFutureIssuance,shares,12396758.0,,2024-03-31,0000950170-24-073628,2024,Q1,10-Q/A,2024-06-14,CY2024Q1I,PHAT
us-gaap,CommonStockCapitalSharesReservedForFutureIssuance,shares,12319834.0,,2024-06-30,0000950170-24-093885,2024,Q2,10-Q,2024-08-08,CY2024Q2I,PHAT
us-gaap,CommonStockCapitalSharesReservedForFutureIssuance,shares,14191348.0,,2024-09-30,0000950170-24-123264,2024,Q3,10-Q,2024-11-07,CY2024Q3I,PHAT
us-gaap,CommonStockSharesAuthorized,shares,400000000.0,,2022-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,CommonStockSharesAuthorized,shares,400000000.0,,2022-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,CY2022Q4I,PHAT
us-gaap,CommonStockSharesAuthorized,shares,400000000.0,,2023-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,CommonStockSharesAuthorized,shares,400000000.0,,2023-12-31,0000950170-24-056888,2024,Q1,10-Q,2024-05-09,,PHAT
us-gaap,CommonStockSharesAuthorized,shares,400000000.0,,2023-12-31,0000950170-24-073628,2024,Q1,10-Q/A,2024-06-14,,PHAT
us-gaap,CommonStockSharesAuthorized,shares,400000000.0,,2023-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,,PHAT
us-gaap,CommonStockSharesAuthorized,shares,400000000.0,,2023-12-31,0000950170-24-093885,2024,Q2,10-Q,2024-08-08,,PHAT
us-gaap,CommonStockSharesAuthorized,shares,400000000.0,,2023-12-31,0000950170-24-123264,2024,Q3,10-Q,2024-11-07,CY2023Q4I,PHAT
us-gaap,CommonStockSharesAuthorized,shares,400000000.0,,2024-03-31,0000950170-24-056888,2024,Q1,10-Q,2024-05-09,,PHAT
us-gaap,CommonStockSharesAuthorized,shares,400000000.0,,2024-03-31,0000950170-24-073628,2024,Q1,10-Q/A,2024-06-14,CY2024Q1I,PHAT
us-gaap,CommonStockSharesAuthorized,shares,400000000.0,,2024-06-30,0000950170-24-093885,2024,Q2,10-Q,2024-08-08,CY2024Q2I,PHAT
us-gaap,CommonStockSharesAuthorized,shares,400000000.0,,2024-09-30,0000950170-24-123264,2024,Q3,10-Q,2024-11-07,CY2024Q3I,PHAT
us-gaap,CommonStockSharesIssued,shares,41723308.0,,2022-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,CommonStockSharesIssued,shares,41723308.0,,2022-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,CY2022Q4I,PHAT
us-gaap,CommonStockSharesIssued,shares,57970044.0,,2023-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,CommonStockSharesIssued,shares,57970044.0,,2023-12-31,0000950170-24-056888,2024,Q1,10-Q,2024-05-09,,PHAT
us-gaap,CommonStockSharesIssued,shares,57970044.0,,2023-12-31,0000950170-24-073628,2024,Q1,10-Q/A,2024-06-14,,PHAT
us-gaap,CommonStockSharesIssued,shares,57970044.0,,2023-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,,PHAT
us-gaap,CommonStockSharesIssued,shares,57970044.0,,2023-12-31,0000950170-24-093885,2024,Q2,10-Q,2024-08-08,,PHAT
us-gaap,CommonStockSharesIssued,shares,57970044.0,,2023-12-31,0000950170-24-123264,2024,Q3,10-Q,2024-11-07,CY2023Q4I,PHAT
us-gaap,CommonStockSharesIssued,shares,58524101.0,,2024-03-31,0000950170-24-056888,2024,Q1,10-Q,2024-05-09,,PHAT
us-gaap,CommonStockSharesIssued,shares,58524101.0,,2024-03-31,0000950170-24-073628,2024,Q1,10-Q/A,2024-06-14,CY2024Q1I,PHAT
us-gaap,CommonStockSharesIssued,shares,58601025.0,,2024-06-30,0000950170-24-093885,2024,Q2,10-Q,2024-08-08,CY2024Q2I,PHAT
us-gaap,CommonStockSharesIssued,shares,68323938.0,,2024-09-30,0000950170-24-123264,2024,Q3,10-Q,2024-11-07,CY2024Q3I,PHAT
us-gaap,CommonStockSharesOutstanding,shares,41468871.0,,2022-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,CommonStockSharesOutstanding,shares,41468871.0,,2022-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,CY2022Q4I,PHAT
us-gaap,CommonStockSharesOutstanding,shares,57970044.0,,2023-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,CommonStockSharesOutstanding,shares,57970044.0,,2023-12-31,0000950170-24-056888,2024,Q1,10-Q,2024-05-09,,PHAT
us-gaap,CommonStockSharesOutstanding,shares,57970044.0,,2023-12-31,0000950170-24-073628,2024,Q1,10-Q/A,2024-06-14,,PHAT
us-gaap,CommonStockSharesOutstanding,shares,57970044.0,,2023-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,,PHAT
us-gaap,CommonStockSharesOutstanding,shares,57970044.0,,2023-12-31,0000950170-24-093885,2024,Q2,10-Q,2024-08-08,,PHAT
us-gaap,CommonStockSharesOutstanding,shares,57970044.0,,2023-12-31,0000950170-24-123264,2024,Q3,10-Q,2024-11-07,CY2023Q4I,PHAT
us-gaap,CommonStockSharesOutstanding,shares,58524101.0,,2024-03-31,0000950170-24-056888,2024,Q1,10-Q,2024-05-09,,PHAT
us-gaap,CommonStockSharesOutstanding,shares,58524101.0,,2024-03-31,0000950170-24-073628,2024,Q1,10-Q/A,2024-06-14,CY2024Q1I,PHAT
us-gaap,CommonStockSharesOutstanding,shares,58601025.0,,2024-06-30,0000950170-24-093885,2024,Q2,10-Q,2024-08-08,CY2024Q2I,PHAT
us-gaap,CommonStockSharesOutstanding,shares,68323938.0,,2024-09-30,0000950170-24-123264,2024,Q3,10-Q,2024-11-07,CY2024Q3I,PHAT
us-gaap,PreferredStockSharesAuthorized,shares,40000000.0,,2022-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,PreferredStockSharesAuthorized,shares,40000000.0,,2022-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,CY2022Q4I,PHAT
us-gaap,PreferredStockSharesAuthorized,shares,40000000.0,,2023-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,PreferredStockSharesAuthorized,shares,40000000.0,,2023-12-31,0000950170-24-056888,2024,Q1,10-Q,2024-05-09,,PHAT
us-gaap,PreferredStockSharesAuthorized,shares,40000000.0,,2023-12-31,0000950170-24-073628,2024,Q1,10-Q/A,2024-06-14,,PHAT
us-gaap,PreferredStockSharesAuthorized,shares,40000000.0,,2023-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,,PHAT
us-gaap,PreferredStockSharesAuthorized,shares,40000000.0,,2023-12-31,0000950170-24-093885,2024,Q2,10-Q,2024-08-08,,PHAT
us-gaap,PreferredStockSharesAuthorized,shares,40000000.0,,2023-12-31,0000950170-24-123264,2024,Q3,10-Q,2024-11-07,CY2023Q4I,PHAT
us-gaap,PreferredStockSharesAuthorized,shares,40000000.0,,2024-03-31,0000950170-24-056888,2024,Q1,10-Q,2024-05-09,,PHAT
us-gaap,PreferredStockSharesAuthorized,shares,40000000.0,,2024-03-31,0000950170-24-073628,2024,Q1,10-Q/A,2024-06-14,CY2024Q1I,PHAT
us-gaap,PreferredStockSharesAuthorized,shares,40000000.0,,2024-06-30,0000950170-24-093885,2024,Q2,10-Q,2024-08-08,CY2024Q2I,PHAT
us-gaap,PreferredStockSharesAuthorized,shares,40000000.0,,2024-09-30,0000950170-24-123264,2024,Q3,10-Q,2024-11-07,CY2024Q3I,PHAT
us-gaap,PreferredStockSharesIssued,shares,0.0,,2022-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,PreferredStockSharesIssued,shares,0.0,,2022-12-31,0000950170-24-073629,2023,FY,10-K/A,2024-06-14,CY2022Q4I,PHAT
us-gaap,PreferredStockSharesIssued,shares,0.0,,2023-12-31,0000950170-24-027910,2023,FY,10-K,2024-03-07,,PHAT
us-gaap,PreferredStockSharesIssued,shares,0.0,,2023-12-31,0000950170-24-056888,2024,Q1,10-Q,2024-05-09,,PHAT
