Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame,Ticker
us-gaap,PreferredStockSharesAuthorized,shares,30000000.0,,2022-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2022Q4I,REGN
us-gaap,PreferredStockSharesAuthorized,shares,30000000.0,,2023-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,,REGN
us-gaap,PreferredStockSharesAuthorized,shares,30000000.0,,2023-12-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,,REGN
us-gaap,PreferredStockSharesAuthorized,shares,30000000.0,,2024-03-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,CY2024Q1I,REGN
us-gaap,PreferredStockSharesIssued,shares,0.0,,2022-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2022Q4I,REGN
us-gaap,PreferredStockSharesIssued,shares,0.0,,2023-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,,REGN
us-gaap,PreferredStockSharesIssued,shares,0.0,,2023-12-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,,REGN
us-gaap,PreferredStockSharesIssued,shares,0.0,,2024-03-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,CY2024Q1I,REGN
us-gaap,PreferredStockSharesOutstanding,shares,0.0,,2022-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2022Q4I,REGN
us-gaap,PreferredStockSharesOutstanding,shares,0.0,,2023-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,,REGN
us-gaap,PreferredStockSharesOutstanding,shares,0.0,,2023-12-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,,REGN
us-gaap,PreferredStockSharesOutstanding,shares,0.0,,2024-03-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,CY2024Q1I,REGN
us-gaap,TreasuryStockCommonShares,shares,22600000.0,,2022-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2022Q4I,REGN
us-gaap,TreasuryStockCommonShares,shares,25500000.0,,2023-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,,REGN
us-gaap,TreasuryStockCommonShares,shares,25500000.0,,2023-12-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,,REGN
us-gaap,TreasuryStockCommonShares,shares,25800000.0,,2024-03-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,CY2024Q1I,REGN
us-gaap,TreasuryStockSharesAcquired,shares,900000.0,2023-01-01,2023-03-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,CY2023Q1,REGN
us-gaap,TreasuryStockSharesAcquired,shares,300000.0,2024-01-01,2024-03-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,CY2024Q1,REGN
us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,shares,112200000.0,2021-01-01,2021-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2021,REGN
us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,shares,113500000.0,2022-01-01,2022-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2022,REGN
us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,shares,114000000.0,2023-01-01,2023-03-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,CY2023Q1,REGN
us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,shares,113700000.0,2023-01-01,2023-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2023,REGN
us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,shares,115100000.0,2024-01-01,2024-03-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,CY2024Q1,REGN
us-gaap,WeightedAverageNumberOfSharesOutstandingBasic,shares,105700000.0,2021-01-01,2021-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2021,REGN
us-gaap,WeightedAverageNumberOfSharesOutstandingBasic,shares,107100000.0,2022-01-01,2022-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2022,REGN
us-gaap,WeightedAverageNumberOfSharesOutstandingBasic,shares,107100000.0,2023-01-01,2023-03-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,CY2023Q1,REGN
us-gaap,WeightedAverageNumberOfSharesOutstandingBasic,shares,106700000.0,2023-01-01,2023-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2023,REGN
us-gaap,WeightedAverageNumberOfSharesOutstandingBasic,shares,107800000.0,2024-01-01,2024-03-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,CY2024Q1,REGN
