Taxonomy,Concept,Unit,Value,Start,End,Accession,Fiscal Year,Fiscal Period,Form,Filed Date,Frame,Ticker
dei,EntityPublicFloat,USD,76700000000.0,,2023-06-30,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2023Q2I,REGN
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,2074200000.0,,2022-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2022Q4I,REGN
us-gaap,AccountsPayableAndAccruedLiabilitiesCurrent,USD,2357900000.0,,2023-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2023Q4I,REGN
us-gaap,AccountsPayableCurrent,USD,589200000.0,,2022-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2022Q4I,REGN
us-gaap,AccountsPayableCurrent,USD,606600000.0,,2023-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,,REGN
us-gaap,AccountsPayableCurrent,USD,606600000.0,,2023-12-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,,REGN
us-gaap,AccountsPayableCurrent,USD,606600000.0,,2023-12-31,0001804220-24-000028,2024,Q2,10-Q,2024-08-01,,REGN
us-gaap,AccountsPayableCurrent,USD,606600000.0,,2023-12-31,0001804220-24-000040,2024,Q3,10-Q,2024-10-31,CY2023Q4I,REGN
us-gaap,AccountsPayableCurrent,USD,671300000.0,,2024-03-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,CY2024Q1I,REGN
us-gaap,AccountsPayableCurrent,USD,561700000.0,,2024-06-30,0001804220-24-000028,2024,Q2,10-Q,2024-08-01,CY2024Q2I,REGN
us-gaap,AccountsPayableCurrent,USD,497300000.0,,2024-09-30,0001804220-24-000040,2024,Q3,10-Q,2024-10-31,CY2024Q3I,REGN
us-gaap,AccountsReceivableNetCurrent,USD,5328700000.0,,2022-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2022Q4I,REGN
us-gaap,AccountsReceivableNetCurrent,USD,5667300000.0,,2023-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,,REGN
us-gaap,AccountsReceivableNetCurrent,USD,5667300000.0,,2023-12-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,,REGN
us-gaap,AccountsReceivableNetCurrent,USD,5667300000.0,,2023-12-31,0001804220-24-000028,2024,Q2,10-Q,2024-08-01,,REGN
us-gaap,AccountsReceivableNetCurrent,USD,5667300000.0,,2023-12-31,0001804220-24-000040,2024,Q3,10-Q,2024-10-31,CY2023Q4I,REGN
us-gaap,AccountsReceivableNetCurrent,USD,5222200000.0,,2024-03-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,CY2024Q1I,REGN
us-gaap,AccountsReceivableNetCurrent,USD,5717100000.0,,2024-06-30,0001804220-24-000028,2024,Q2,10-Q,2024-08-01,CY2024Q2I,REGN
us-gaap,AccountsReceivableNetCurrent,USD,6107100000.0,,2024-09-30,0001804220-24-000040,2024,Q3,10-Q,2024-10-31,CY2024Q3I,REGN
us-gaap,AccruedLiabilitiesAndOtherLiabilities,USD,2074200000.0,,2022-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2022Q4I,REGN
us-gaap,AccruedLiabilitiesAndOtherLiabilities,USD,2357900000.0,,2023-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,,REGN
us-gaap,AccruedLiabilitiesAndOtherLiabilities,USD,2357900000.0,,2023-12-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,,REGN
us-gaap,AccruedLiabilitiesAndOtherLiabilities,USD,2357900000.0,,2023-12-31,0001804220-24-000028,2024,Q2,10-Q,2024-08-01,,REGN
us-gaap,AccruedLiabilitiesAndOtherLiabilities,USD,2357900000.0,,2023-12-31,0001804220-24-000040,2024,Q3,10-Q,2024-10-31,CY2023Q4I,REGN
us-gaap,AccruedLiabilitiesAndOtherLiabilities,USD,2392900000.0,,2024-03-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,CY2024Q1I,REGN
us-gaap,AccruedLiabilitiesAndOtherLiabilities,USD,2360900000.0,,2024-06-30,0001804220-24-000028,2024,Q2,10-Q,2024-08-01,CY2024Q2I,REGN
us-gaap,AccruedLiabilitiesAndOtherLiabilities,USD,2536500000.0,,2024-09-30,0001804220-24-000040,2024,Q3,10-Q,2024-10-31,CY2024Q3I,REGN
us-gaap,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,-238800000.0,,2022-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2022Q4I,REGN
us-gaap,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,-80900000.0,,2023-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,,REGN
us-gaap,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,-80900000.0,,2023-12-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,,REGN
us-gaap,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,-80900000.0,,2023-12-31,0001804220-24-000028,2024,Q2,10-Q,2024-08-01,,REGN
us-gaap,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,-80900000.0,,2023-12-31,0001804220-24-000040,2024,Q3,10-Q,2024-10-31,CY2023Q4I,REGN
us-gaap,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,-77200000.0,,2024-03-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,CY2024Q1I,REGN
us-gaap,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,-69900000.0,,2024-06-30,0001804220-24-000028,2024,Q2,10-Q,2024-08-01,CY2024Q2I,REGN
us-gaap,AccumulatedOtherComprehensiveIncomeLossNetOfTax,USD,60200000.0,,2024-09-30,0001804220-24-000040,2024,Q3,10-Q,2024-10-31,CY2024Q3I,REGN
us-gaap,AdditionalPaidInCapital,USD,9949300000.0,,2022-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2022Q4I,REGN
us-gaap,AdditionalPaidInCapital,USD,11354000000.0,,2023-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,,REGN
us-gaap,AdditionalPaidInCapital,USD,11354000000.0,,2023-12-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,,REGN
us-gaap,AdditionalPaidInCapital,USD,11354000000.0,,2023-12-31,0001804220-24-000028,2024,Q2,10-Q,2024-08-01,,REGN
us-gaap,AdditionalPaidInCapital,USD,11354000000.0,,2023-12-31,0001804220-24-000040,2024,Q3,10-Q,2024-10-31,CY2023Q4I,REGN
us-gaap,AdditionalPaidInCapital,USD,11942600000.0,,2024-03-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,CY2024Q1I,REGN
us-gaap,AdditionalPaidInCapital,USD,12316900000.0,,2024-06-30,0001804220-24-000028,2024,Q2,10-Q,2024-08-01,CY2024Q2I,REGN
us-gaap,AdditionalPaidInCapital,USD,12702800000.0,,2024-09-30,0001804220-24-000040,2024,Q3,10-Q,2024-10-31,CY2024Q3I,REGN
us-gaap,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,USD,944600000.0,2021-01-01,2021-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2021,REGN
us-gaap,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,USD,445700000.0,2022-01-01,2022-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2022,REGN
us-gaap,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,USD,99200000.0,2023-01-01,2023-03-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,,REGN
us-gaap,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,USD,99200000.0,2023-01-01,2023-03-31,0001804220-24-000028,2024,Q2,10-Q,2024-08-01,,REGN
us-gaap,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,USD,99200000.0,2023-01-01,2023-03-31,0001804220-24-000040,2024,Q3,10-Q,2024-10-31,CY2023Q1,REGN
us-gaap,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,USD,14000000.0,2023-04-01,2023-06-30,0001804220-24-000028,2024,Q2,10-Q,2024-08-01,,REGN
us-gaap,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,USD,14000000.0,2023-04-01,2023-06-30,0001804220-24-000040,2024,Q3,10-Q,2024-10-31,CY2023Q2,REGN
us-gaap,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,USD,129400000.0,2023-07-01,2023-09-30,0001804220-24-000040,2024,Q3,10-Q,2024-10-31,CY2023Q3,REGN
us-gaap,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,USD,708400000.0,2023-01-01,2023-12-31,0001804220-24-000009,2023,FY,10-K,2024-02-05,CY2023,REGN
us-gaap,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,USD,335900000.0,2024-01-01,2024-03-31,0001804220-24-000017,2024,Q1,10-Q,2024-05-02,,REGN
us-gaap,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,USD,335900000.0,2024-01-01,2024-03-31,0001804220-24-000028,2024,Q2,10-Q,2024-08-01,,REGN
